region,census_code,총인구,총종사자수
분당(판교),31021540010601,324.0,302.0
분당(판교),31021540020001,534.0,23.0
분당(판교),31021540020002,452.0,459.0
분당(판교),31021540020003,527.0,109.0
분당(판교),31021540020004,416.0,95.0
분당(판교),31021540020005,557.0,181.0
분당(판교),31021540020006,491.0,19.0
분당(판교),31021540020007,456.0,25.0
분당(판교),31021540020008,591.0,131.0
분당(판교),31021540020009,475.0,83.0
분당(판교),31021540020010,432.0,489.0
분당(판교),31021540020011,583.0,28.0
분당(판교),31021540020012,483.0,88.0
분당(판교),31021550010001,400.0,124.0
분당(판교),31021550010002,410.0,16.0
분당(판교),31021550010003,422.0,16.0
분당(판교),31021550010004,577.0,116.0
분당(판교),31021550010005,407.0,20.0
분당(판교),31021550010006,404.0,161.0
분당(판교),31021550010007,401.0,74.0
분당(판교),31021550010008,503.0,17.0
분당(판교),31021550010009,396.0,24.0
분당(판교),31021550010010,398.0,21.0
분당(판교),31021550010011,480.0,22.0
분당(판교),31021550010012,445.0,9.0
분당(판교),31021550010013,470.0,9.0
분당(판교),31021550010014,399.0,24.0
분당(판교),31021550010015,432.0,1147.0
분당(판교),31021550010016,549.0,51.0
분당(판교),31021550010017,393.0,50.0
분당(판교),31021550010018,444.0,43.0
분당(판교),31021550010019,492.0,907.0
분당(판교),31021550010020,399.0,94.0
분당(판교),31021550010021,435.0,215.0
분당(판교),31021550010022,386.0,53.0
분당(판교),31021550010023,576.0,102.0
분당(판교),31021550010024,523.0,287.0
분당(판교),31021550010025,598.0,125.0
분당(판교),31021550010026,492.0,113.0
분당(판교),31021550010027,570.0,35.0
분당(판교),31021550010028,458.0,34.0
분당(판교),31021550010029,417.0,25.0
분당(판교),31021550010301,597.0,61.0
분당(판교),31021550010302,607.0,33.0
분당(판교),31021560010001,433.0,25.0
분당(판교),31021560010002,584.0,37.0
분당(판교),31021560010003,566.0,62.0
분당(판교),31021560010004,510.0,185.0
분당(판교),31021560010005,598.0,147.0
분당(판교),31021560010006,425.0,58.0
분당(판교),31021560010007,569.0,30.0
분당(판교),31021560010008,444.0,14.0
분당(판교),31021560010009,447.0,339.0
분당(판교),31021560010010,483.0,23.0
분당(판교),31021560010011,518.0,23.0
분당(판교),31021560010012,460.0,176.0
분당(판교),31021560010013,462.0,25.0
분당(판교),31021560010014,489.0,18.0
분당(판교),31021560010015,450.0,16.0
분당(판교),31021560010016,448.0,123.0
분당(판교),31021560010017,515.0,12.0
분당(판교),31021560010018,428.0,127.0
분당(판교),31021560010019,456.0,56.0
분당(판교),31021560010020,399.0,13.0
분당(판교),31021560010021,579.0,127.0
분당(판교),31021560010022,446.0,24.0
분당(판교),31021560010023,539.0,512.0
분당(판교),31021560010024,486.0,294.0
분당(판교),31021560010025,557.0,103.0
분당(판교),31021560010026,430.0,26.0
분당(판교),31021560010301,667.0,22.0
분당(판교),31021570010001,411.0,228.0
분당(판교),31021570010002,480.0,19.0
분당(판교),31021570010003,592.0,33.0
분당(판교),31021570010004,526.0,26.0
분당(판교),31021570010005,531.0,96.0
분당(판교),31021570010006,517.0,25.0
분당(판교),31021570010007,592.0,46.0
분당(판교),31021570010008,423.0,39.0
분당(판교),31021570010009,407.0,56.0
분당(판교),31021570010010,523.0,71.0
분당(판교),31021570010011,448.0,106.0
분당(판교),31021570010012,581.0,34.0
분당(판교),31021570010013,509.0,47.0
분당(판교),31021570010014,465.0,599.0
분당(판교),31021570010015,398.0,27.0
분당(판교),31021570010016,410.0,14.0
분당(판교),31021570010017,456.0,143.0
분당(판교),31021570010018,418.0,35.0
분당(판교),31021570010019,449.0,68.0
분당(판교),31021570010020,408.0,12.0
분당(판교),31021570010201,752.0,424.0
분당(판교),31021570010301,511.0,18.0
분당(판교),31021570010401,525.0,27.0
